winner,referee,method_of_victory,red_Knockdowns,blue_Knockdowns,red_sig_str,blue_sig_str,red_sig_str_percentage,blue_sig_str_percentage,red_total_strikes,blue_total_strikes,red_total_strikes_percentage,blue_total_strikes_percentage,red_takedowns,blue_takedowns,red_takedown_percentage,blue_takedown_percentage,red_subs_attempted,blue_subs_attempted
1,147,2,0,0,11,47,26,72,27,68,44,76,3,0,75,0,0,0
0,126,6,1,1,56,30,48,39,108,40,60,45,1,0,100,0,0,0
1,74,2,0,1,17,25,48,71,24,26,52,72,0,0,0,0,0,0
0,131,6,1,0,163,24,75,38,296,29,83,43,6,0,85,0,0,2
1,103,6,0,0,27,91,40,60,51,111,55,65,0,2,0,100,0,0
1,37,6,0,0,90,79,51,57,108,102,56,63,4,2,57,20,0,1
0,153,6,0,0,141,113,56,45,141,113,56,46,0,0,0,0,0,0
1,103,6,0,0,37,70,40,60,39,71,41,61,0,0,0,0,0,0
0,37,2,0,0,5,2,83,28,6,3,75,38,1,0,50,0,0,0
0,199,7,0,0,61,44,51,41,85,61,59,49,0,2,0,33,2,0
0,74,6,0,0,160,164,51,61,173,169,53,62,0,0,0,0,0,0
0,153,9,1,0,57,76,43,51,67,92,47,55,2,1,40,33,0,0
1,131,6,0,0,43,70,34,40,43,70,34,40,0,0,0,0,0,0
0,199,7,1,0,30,16,56,29,52,25,68,38,1,0,100,0,1,0
0,46,6,0,0,72,66,51,48,138,94,62,55,8,2,72,28,0,1
0,179,6,0,0,77,95,49,53,107,129,55,58,1,0,50,0,0,0
0,153,2,1,0,16,8,66,38,16,14,67,50,0,0,0,0,0,0
1,70,7,0,0,10,10,40,41,41,31,60,65,1,2,33,100,0,1
0,153,6,0,0,67,53,50,53,98,59,56,56,2,0,66,0,0,0
0,46,6,0,0,31,14,38,26,59,26,54,39,0,2,0,66,2,0
1,179,2,0,1,4,7,13,53,4,7,13,54,0,0,0,0,0,0
0,70,2,0,0,30,1,63,20,30,1,64,20,0,0,0,0,0,0
1,179,2,0,0,2,35,28,66,11,61,69,73,0,1,0,100,0,0
1,153,7,0,0,26,42,42,62,27,62,43,68,0,1,0,100,0,1
0,70,2,0,0,86,6,63,16,141,20,68,35,1,1,33,100,4,0
0,46,7,0,0,18,8,60,66,30,16,65,76,2,0,50,0,1,0
1,179,2,0,0,24,63,32,60,25,64,32,60,0,0,0,0,0,0
0,179,6,0,0,34,9,40,18,132,25,63,36,7,1,100,50,1,0
1,131,7,0,0,11,23,37,46,13,25,42,49,0,3,0,100,0,1
0,28,2,1,0,10,4,30,22,10,4,30,22,0,0,0,0,0,0
0,105,7,0,0,0,0,0,0,0,0,0,0,0,1,0,100,3,0
0,76,6,0,0,120,68,55,50,145,105,57,60,0,0,0,0,0,0
1,179,6,0,0,43,56,30,51,62,94,37,62,0,3,0,60,0,0
0,131,6,1,0,72,46,38,39,80,52,41,42,1,3,25,27,0,0
1,179,7,0,0,18,5,37,26,41,19,53,53,3,0,60,0,2,1
0,131,6,0,0,100,67,53,38,169,75,63,41,0,3,0,23,1,0
0,105,6,0,0,38,26,44,31,63,45,52,42,4,0,66,0,1,3
0,76,6,0,0,71,42,56,36,163,46,71,38,4,0,80,0,0,0
1,28,7,0,0,4,26,22,65,8,52,36,67,0,2,0,40,0,2
1,153,2,0,1,27,41,51,62,27,41,52,62,0,0,0,0,0,0
1,74,9,0,0,52,70,64,76,82,112,70,81,3,0,37,0,2,1
0,139,2,1,0,17,1,51,100,20,2,56,100,0,0,0,0,0,0
1,139,7,0,0,54,137,43,63,62,145,45,64,0,0,0,0,0,1
1,74,7,0,0,4,9,36,56,6,12,46,63,0,0,0,0,0,1
0,153,7,0,0,3,1,27,20,3,1,27,20,1,0,100,0,1,0
0,79,6,0,0,109,88,60,45,109,89,60,45,0,0,0,0,0,0
0,74,2,1,0,32,32,76,54,32,33,76,55,0,0,0,0,0,0
0,134,7,0,0,60,36,59,56,71,41,63,59,0,1,0,33,1,0
1,134,2,1,1,52,69,43,53,53,76,44,56,0,1,0,100,0,0
0,79,7,0,0,36,11,70,47,105,13,80,50,3,0,33,0,1,0
0,74,2,1,0,13,4,72,26,13,4,72,27,0,0,0,0,0,0
1,179,7,0,0,6,9,37,31,6,9,38,31,0,1,0,100,0,1
0,74,6,1,1,84,58,56,38,108,76,62,42,1,0,50,0,0,0
0,107,2,0,0,40,24,48,60,54,31,53,66,2,2,100,100,1,0
1,179,6,0,0,49,61,36,53,58,96,39,63,0,1,0,20,0,0
0,83,6,1,0,59,23,54,38,87,40,60,52,3,0,60,0,2,0
1,74,9,0,0,70,48,32,34,70,49,33,35,0,1,0,100,0,0
1,179,2,0,2,44,63,33,50,44,69,33,52,0,0,0,0,0,0
1,107,7,0,0,20,42,43,56,29,64,48,65,2,0,66,0,0,1
0,83,6,0,0,95,36,60,26,98,37,62,27,0,0,0,0,0,0
0,74,6,2,0,54,28,55,34,68,81,60,59,13,0,81,0,0,0
0,179,6,0,0,15,22,45,43,65,92,63,64,3,0,100,0,3,0
0,83,6,0,0,85,35,41,35,87,36,42,36,2,0,50,0,0,0
1,107,6,0,0,54,56,37,62,124,73,56,66,0,2,0,66,0,0
0,74,7,0,1,21,18,38,60,23,18,37,60,1,0,25,0,1,0
2,103,5,0,0,27,20,69,54,50,31,71,62,0,0,0,0,0,1
0,46,9,0,0,83,32,60,25,149,48,70,34,1,3,50,15,0,0
1,70,2,0,1,14,38,42,66,16,42,44,69,0,0,0,0,0,0
1,46,7,0,1,31,50,40,52,35,77,42,56,1,0,50,0,0,3
0,190,6,0,0,47,22,61,36,98,72,70,58,3,1,100,33,0,0
0,103,7,0,0,8,6,53,42,20,21,74,62,0,2,0,40,1,0
1,190,6,0,0,36,64,33,59,41,74,36,61,3,0,33,0,0,0
0,70,2,0,0,3,2,27,33,3,2,27,33,1,0,100,0,0,0
1,103,6,0,0,39,100,28,45,39,108,28,46,0,3,0,37,0,1
