redCorner,blueCorner,winner,event,referee,method_of_victory,red_Knockdowns,blue_Knockdowns,red_sig_str,blue_sig_str,red_sig_str_percentage,blue_sig_str_percentage,red_total_strikes,blue_total_strikes,red_takedowns,blue_takedowns,red_takedown_percentage,blue_takedown_percentage,red_subs_attempted,blue_subs_attempted
Leonardo Santos,Jared Gordon,Jared Gordon,UFC 278: Usman vs. Edwards,Herb Dean,Decision - Unanimous,0,0,36 of 81,116 of 174,44%,66%,41 of 86,203 of 265,0 of 3,0 of 0,0%,---,0,0
Sean Woodson,Luis Saldana,,UFC 278: Usman vs. Edwards,Mike Beltran,Decision - Split,0,2,73 of 157,91 of 176,46%,51%,86 of 170,96 of 181,0 of 0,1 of 7,---,14%,1,0
AJ Fletcher,Ange Loosa,Ange Loosa,UFC 278: Usman vs. Edwards,Mike Beltran,Decision - Unanimous,0,0,87 of 181,129 of 233,48%,55%,103 of 201,241 of 354,0 of 4,2 of 4,0%,50%,0,0
Amir Albazi,Francisco Figueiredo,Amir Albazi,UFC 278: Usman vs. Edwards,Dave Seljestad,Submission,0,0,12 of 18,11 of 15,66%,73%,23 of 29,14 of 18,2 of 4,0 of 0,50%,---,1,0
Aoriqileng,Jay Perrin,Aoriqileng,UFC 278: Usman vs. Edwards,Tyler Tomlinson,Decision - Unanimous,0,0,72 of 132,88 of 167,54%,52%,102 of 163,106 of 188,0 of 3,3 of 7,0%,42%,0,0
Daniel Lacerda,Victor Altamirano,Victor Altamirano,UFC 278: Usman vs. Edwards,Dave Seljestad,KO/TKO,1,1,22 of 45,58 of 83,48%,69%,27 of 51,94 of 123,0 of 0,0 of 0,---,---,0,0
Marlon Vera,Dominick Cruz,Marlon Vera,UFC Fight Night: Vera vs. Cruz,Herb Dean,KO/TKO,3,0,61 of 156,92 of 249,39%,36%,63 of 160,100 of 259,0 of 0,2 of 7,---,28%,0,0
Nate Landwehr,David Onama,Nate Landwehr,UFC Fight Night: Vera vs. Cruz,Mike Beltran,Decision - Majority,0,1,91 of 185,71 of 174,49%,40%,133 of 253,79 of 186,3 of 4,1 of 6,75%,16%,2,0
Yazmin Jauregui,Iasmin Lucindo,Yazmin Jauregui,UFC Fight Night: Vera vs. Cruz,Jason Herzog,Decision - Unanimous,0,0,86 of 218,66 of 181,39%,36%,87 of 219,66 of 181,0 of 0,0 of 2,---,0%,0,0
Devin Clark,Azamat Murzakanov,Azamat Murzakanov,UFC Fight Night: Vera vs. Cruz,Frank Trigg,KO/TKO,0,1,14 of 52,79 of 106,26%,74%,39 of 83,95 of 127,0 of 0,0 of 1,---,0%,0,0
Priscila Cachoeira,Ariane Lipski,Priscila Cachoeira,UFC Fight Night: Vera vs. Cruz,Herb Dean,KO/TKO,1,0,20 of 35,4 of 15,57%,26%,20 of 35,4 of 15,0 of 0,0 of 0,---,---,0,0
Bruno Silva,Gerald Meerschaert,Gerald Meerschaert,UFC Fight Night: Vera vs. Cruz,Mike Beltran,Submission,0,1,29 of 81,46 of 114,35%,40%,38 of 93,61 of 136,0 of 0,1 of 6,---,16%,0,1
Angela Hill,Loopy Godinez,Angela Hill,UFC Fight Night: Vera vs. Cruz,Jason Herzog,Decision - Unanimous,0,0,85 of 218,92 of 241,38%,38%,88 of 225,98 of 250,1 of 6,1 of 3,16%,33%,0,0
Martin Buday,Lukasz Brzeski,Martin Buday,UFC Fight Night: Vera vs. Cruz,Frank Trigg,Decision - Split,0,0,66 of 188,118 of 273,35%,43%,66 of 188,124 of 280,0 of 0,0 of 0,---,---,0,0
Cynthia Calvillo,Nina Nunes,Nina Nunes,UFC Fight Night: Vera vs. Cruz,Herb Dean,Decision - Split,0,0,48 of 139,39 of 133,34%,29%,66 of 159,47 of 142,3 of 6,0 of 1,50%,0%,0,0
Gabriel Benitez,Charlie Ontiveros,Gabriel Benitez,UFC Fight Night: Vera vs. Cruz,Mike Beltran,KO/TKO,0,0,37 of 60,22 of 47,61%,46%,47 of 74,28 of 55,1 of 2,0 of 0,50%,---,0,0
Ode Osbourne,Tyson Nam,Tyson Nam,UFC Fight Night: Vera vs. Cruz,Jason Herzog,KO/TKO,0,1,15 of 41,13 of 25,36%,52%,15 of 41,13 of 25,0 of 0,0 of 0,---,---,0,0
Jason Witt,Josh Quinlan,Josh Quinlan,UFC Fight Night: Vera vs. Cruz,Frank Trigg,KO/TKO,0,1,1 of 12,3 of 12,8%,25%,2 of 13,3 of 12,1 of 2,0 of 0,50%,---,0,0
Youssef Zalal,Da'Mon Blackshear,,UFC Fight Night: Vera vs. Cruz,Herb Dean,Decision - Majority,0,0,63 of 150,27 of 69,42%,39%,82 of 179,40 of 91,1 of 1,1 of 5,100%,20%,1,1
Thiago Santos,Jamahal Hill,Jamahal Hill,UFC Fight Night: Santos vs. Hill,Herb Dean,KO/TKO,0,0,53 of 94,89 of 152,56%,58%,56 of 98,130 of 194,6 of 20,0 of 0,30%,---,0,0
Vicente Luque,Geoff Neal,Geoff Neal,UFC Fight Night: Santos vs. Hill,Keith Peterson,KO/TKO,0,2,97 of 203,121 of 211,47%,57%,97 of 203,125 of 215,0 of 0,1 of 3,---,33%,0,0
Mohammed Usman,Zac Pauga,Mohammed Usman,UFC Fight Night: Santos vs. Hill,Mark Smith,KO/TKO,1,0,12 of 40,32 of 50,30%,64%,13 of 41,33 of 51,0 of 1,0 of 0,0%,---,0,0
Brogan Walker,Juliana Miller,Juliana Miller,UFC Fight Night: Santos vs. Hill,Keith Peterson,KO/TKO,0,0,30 of 48,54 of 85,62%,63%,52 of 74,110 of 156,0 of 0,4 of 4,---,100%,0,1
Augusto Sakai,Serghei Spivac,Serghei Spivac,UFC Fight Night: Santos vs. Hill,Mark Smith,KO/TKO,0,0,8 of 23,33 of 49,34%,67%,14 of 29,86 of 119,0 of 0,6 of 8,---,75%,0,1
Terrance McKinney,Erick Gonzalez,Terrance McKinney,UFC Fight Night: Santos vs. Hill,Keith Peterson,Submission,0,0,18 of 37,9 of 16,48%,56%,23 of 42,10 of 18,1 of 1,0 of 1,100%,0%,1,0
Sam Alvey,Michal Oleksiejczuk,Michal Oleksiejczuk,UFC Fight Night: Santos vs. Hill,Herb Dean,KO/TKO,0,2,3 of 11,22 of 37,27%,59%,3 of 11,40 of 57,0 of 1,0 of 0,0%,---,0,0
Bryan Battle,Takashi Sato,Bryan Battle,UFC Fight Night: Santos vs. Hill,Mark Smith,KO/TKO,1,0,7 of 10,2 of 8,70%,25%,7 of 10,2 of 8,0 of 0,0 of 0,---,---,0,0
Cory McKenna,Miranda Granger,Cory McKenna,UFC Fight Night: Santos vs. Hill,Keith Peterson,Submission,0,0,13 of 22,13 of 34,59%,38%,43 of 53,14 of 35,3 of 4,0 of 0,75%,---,2,0
Mayra Bueno Silva,Stephanie Egger,Mayra Bueno Silva,UFC Fight Night: Santos vs. Hill,Chris Tognoni,Submission,0,0,4 of 4,8 of 13,100%,61%,4 of 4,12 of 17,0 of 0,1 of 1,---,100%,1,0
Julianna Pena,Amanda Nunes,Amanda Nunes,UFC 277: Pena vs. Nunes 2,Mike Beltran,Decision - Unanimous,0,3,60 of 154,85 of 152,38%,55%,130 of 239,126 of 201,0 of 0,6 of 8,---,75%,1,1
Brandon Moreno,Kai Kara-France,Brandon Moreno,UFC 277: Pena vs. Nunes 2,Herb Dean,KO/TKO,1,0,58 of 151,53 of 110,38%,48%,59 of 153,66 of 123,0 of 3,1 of 2,0%,50%,0,0
Derrick Lewis,Sergei Pavlovich,Sergei Pavlovich,UFC 277: Pena vs. Nunes 2,Dan Miragliotta,KO/TKO,0,1,4 of 6,15 of 24,66%,62%,4 of 6,15 of 24,0 of 0,0 of 0,---,---,0,0
Alexandre Pantoja,Alex Perez,Alexandre Pantoja,UFC 277: Pena vs. Nunes 2,Kerry Hatley,Submission,0,0,8 of 12,10 of 14,66%,71%,8 of 12,10 of 14,1 of 1,0 of 1,100%,0%,1,0
Magomed Ankalaev,Anthony Smith,Magomed Ankalaev,UFC 277: Pena vs. Nunes 2,Jacob Montalvo,KO/TKO,0,0,46 of 79,18 of 36,58%,50%,64 of 102,21 of 39,0 of 0,0 of 1,---,0%,0,0
Alex Morono,Matthew Semelsberger,Alex Morono,UFC 277: Pena vs. Nunes 2,Dan Miragliotta,Decision - Unanimous,0,1,106 of 194,74 of 229,54%,32%,119 of 209,86 of 241,0 of 4,1 of 1,0%,100%,0,0
Drew Dober,Rafael Alves,Drew Dober,UFC 277: Pena vs. Nunes 2,Mike Beltran,KO/TKO,1,0,62 of 151,37 of 68,41%,54%,62 of 151,46 of 80,0 of 0,1 of 3,---,33%,0,0
Don'Tale Mayes,Hamdy Abdelwahab,,UFC 277: Pena vs. Nunes 2,Kerry Hatley,Overturned,0,1,47 of 116,58 of 110,40%,52%,54 of 123,106 of 164,0 of 0,3 of 4,---,75%,0,0
Drakkar Klose,Rafa Garcia,Drakkar Klose,UFC 277: Pena vs. Nunes 2,Jacob Montalvo,Decision - Unanimous,0,0,61 of 115,34 of 57,53%,59%,111 of 175,83 of 111,2 of 10,3 of 11,20%,27%,0,0
Michael Morales,Adam Fugitt,Michael Morales,UFC 277: Pena vs. Nunes 2,Herb Dean,KO/TKO,2,0,83 of 151,64 of 113,54%,56%,89 of 157,70 of 120,0 of 1,1 of 8,0%,12%,0,0
Joselyne Edwards,Ji Yeon Kim,Joselyne Edwards,UFC 277: Pena vs. Nunes 2,Mike Beltran,Decision - Split,0,0,101 of 234,78 of 193,43%,40%,116 of 250,87 of 203,1 of 3,0 of 0,33%,---,0,0
Nicolae Negumereanu,Ihor Potieria,Nicolae Negumereanu,UFC 277: Pena vs. Nunes 2,Kerry Hatley,KO/TKO,0,0,51 of 95,38 of 70,53%,54%,72 of 122,52 of 85,2 of 3,0 of 0,66%,---,0,0
Orion Cosce,Blood Diamond,Orion Cosce,UFC 277: Pena vs. Nunes 2,Jacob Montalvo,Decision - Unanimous,0,0,25 of 52,63 of 98,48%,64%,77 of 107,90 of 126,3 of 8,0 of 1,37%,0%,0,0
Curtis Blaydes,Tom Aspinall,Curtis Blaydes,UFC Fight Night: Blaydes vs. Aspinall,Herb Dean,KO/TKO,0,0,4 of 10,3 of 5,40%,60%,4 of 10,3 of 5,0 of 0,0 of 0,---,---,0,0
Jack Hermansson,Chris Curtis,Jack Hermansson,UFC Fight Night: Blaydes vs. Aspinall,Marc Goddard,Decision - Unanimous,0,0,100 of 251,43 of 125,39%,34%,100 of 251,43 of 125,0 of 6,0 of 0,0%,---,0,0
Paddy Pimblett,Jordan Leavitt,Paddy Pimblett,UFC Fight Night: Blaydes vs. Aspinall,Daniel Movahedi,Submission,0,0,17 of 39,16 of 22,43%,72%,30 of 53,41 of 48,1 of 1,3 of 9,100%,33%,4,0
Nikita Krylov,Alexander Gustafsson,Nikita Krylov,UFC Fight Night: Blaydes vs. Aspinall,Marc Goddard,KO/TKO,2,0,26 of 44,5 of 8,59%,62%,26 of 45,5 of 9,0 of 0,0 of 0,---,---,0,0
Molly McCann,Hannah Goldy,Molly McCann,UFC Fight Night: Blaydes vs. Aspinall,Herb Dean,KO/TKO,1,0,24 of 52,9 of 33,46%,27%,29 of 57,9 of 33,0 of 1,0 of 5,0%,0%,0,0
Paul Craig,Volkan Oezdemir,Volkan Oezdemir,UFC Fight Night: Blaydes vs. Aspinall,Lukasz Bosacki,Decision - Unanimous,0,0,33 of 126,72 of 129,26%,55%,41 of 136,108 of 170,0 of 15,1 of 2,0%,50%,0,0
Mason Jones,Ludovit Klein,Ludovit Klein,UFC Fight Night: Blaydes vs. Aspinall,Marc Goddard,Decision - Unanimous,0,1,43 of 105,50 of 87,40%,57%,78 of 141,70 of 112,0 of 3,0 of 1,0%,0%,0,0
Marc Diakiese,Damir Hadzovic,Marc Diakiese,UFC Fight Night: Blaydes vs. Aspinall,Herb Dean,Decision - Unanimous,0,0,13 of 32,5 of 10,40%,50%,78 of 111,20 of 25,8 of 11,0 of 1,72%,0%,0,0
Nathaniel Wood,Charles Rosa,Nathaniel Wood,UFC Fight Night: Blaydes vs. Aspinall,Lukasz Bosacki,Decision - Unanimous,0,0,97 of 159,51 of 167,61%,30%,102 of 166,54 of 170,1 of 1,2 of 9,100%,22%,0,1
Makwan Amirkhani,Jonathan Pearce,Jonathan Pearce,UFC Fight Night: Blaydes vs. Aspinall,Daniel Movahedi,KO/TKO,0,0,11 of 22,90 of 112,50%,80%,12 of 23,144 of 178,3 of 7,4 of 5,42%,80%,0,0
Muhammad Mokaev,Charles Johnson,Muhammad Mokaev,UFC Fight Night: Blaydes vs. Aspinall,Marc Goddard,Decision - Unanimous,0,0,12 of 29,12 of 22,41%,54%,32 of 54,71 of 84,12 of 26,0 of 0,46%,---,0,0
Jai Herbert,Kyle Nelson,Jai Herbert,UFC Fight Night: Blaydes vs. Aspinall,Herb Dean,Decision - Unanimous,0,0,36 of 64,41 of 62,56%,66%,84 of 116,55 of 77,0 of 1,0 of 4,0%,0%,0,0
Mandy Bohm,Victoria Leonardo,Victoria Leonardo,UFC Fight Night: Blaydes vs. Aspinall,Daniel Movahedi,Decision - Unanimous,0,0,52 of 93,39 of 110,55%,35%,83 of 124,85 of 166,0 of 1,2 of 6,0%,33%,1,0
Claudio Silva,Nicolas Dalby,Nicolas Dalby,UFC Fight Night: Blaydes vs. Aspinall,Lukasz Bosacki,Decision - Unanimous,0,0,11 of 21,45 of 94,52%,47%,46 of 59,61 of 114,4 of 12,1 of 1,33%,100%,0,1
Brian Ortega,Yair Rodriguez,Yair Rodriguez,UFC Fight Night: Ortega vs. Rodriguez,Keith Peterson,KO/TKO,0,0,22 of 35,23 of 46,62%,50%,26 of 39,48 of 76,1 of 5,0 of 0,20%,---,0,0
Michelle Waterson-Gomez,Amanda Lemos,Amanda Lemos,UFC Fight Night: Ortega vs. Rodriguez,Kevin MacDonald,Submission,0,0,29 of 56,20 of 35,51%,57%,35 of 62,20 of 35,1 of 2,0 of 0,50%,---,0,1
Li Jingliang,Muslim Salikhov,Li Jingliang,UFC Fight Night: Ortega vs. Rodriguez,Dan Miragliotta,KO/TKO,1,0,38 of 87,23 of 56,43%,41%,40 of 91,33 of 67,1 of 2,1 of 4,50%,25%,0,0
Matt Schnell,Sumudaerji,Matt Schnell,UFC Fight Night: Ortega vs. Rodriguez,Jacob Montalvo,Submission,0,1,47 of 81,58 of 83,58%,69%,79 of 120,67 of 92,2 of 3,0 of 0,66%,---,2,0
Shane Burgos,Charles Jourdain,Shane Burgos,UFC Fight Night: Ortega vs. Rodriguez,Keith Peterson,Decision - Majority,0,0,42 of 80,113 of 188,52%,60%,67 of 116,161 of 241,2 of 7,0 of 1,28%,0%,3,0
Lauren Murphy,Miesha Tate,Lauren Murphy,UFC Fight Night: Ortega vs. Rodriguez,Kevin MacDonald,Decision - Unanimous,0,0,102 of 184,85 of 164,55%,51%,128 of 211,121 of 201,2 of 6,0 of 7,33%,0%,0,0
Punahele Soriano,Dalcha Lungiambula,Punahele Soriano,UFC Fight Night: Ortega vs. Rodriguez,Dan Miragliotta,KO/TKO,1,0,17 of 35,11 of 22,48%,50%,19 of 37,17 of 28,0 of 1,2 of 2,0%,100%,0,0
Ricky Simon,Jack Shore,Ricky Simon,UFC Fight Night: Ortega vs. Rodriguez,Jacob Montalvo,Submission,1,0,25 of 38,19 of 44,65%,43%,46 of 59,27 of 52,2 of 8,0 of 3,25%,0%,1,0
Bill Algeo,Herbert Burns,Bill Algeo,UFC Fight Night: Ortega vs. Rodriguez,Keith Peterson,KO/TKO,0,0,28 of 36,10 of 12,77%,83%,81 of 104,18 of 25,1 of 1,1 of 2,100%,50%,0,2
Dustin Jacoby,Da Woon Jung,Dustin Jacoby,UFC Fight Night: Ortega vs. Rodriguez,Kevin MacDonald,KO/TKO,1,0,14 of 23,14 of 39,60%,35%,14 of 23,14 of 39,0 of 0,0 of 0,---,---,0,0
Dwight Grant,Dustin Stoltzfus,Dustin Stoltzfus,UFC Fight Night: Ortega vs. Rodriguez,Dan Miragliotta,Decision - Unanimous,0,0,52 of 100,49 of 112,52%,43%,54 of 102,102 of 173,0 of 0,2 of 5,---,40%,0,0
Jessica Penne,Emily Ducote,Emily Ducote,UFC Fight Night: Ortega vs. Rodriguez,Jacob Montalvo,Decision - Unanimous,0,0,63 of 244,116 of 205,25%,56%,68 of 249,117 of 206,0 of 8,0 of 0,0%,---,0,0
Rafael Dos Anjos,Rafael Fiziev,Rafael Fiziev,UFC Fight Night: Dos Anjos vs. Fiziev,Mark Smith,KO/TKO,0,1,54 of 110,64 of 159,49%,40%,90 of 162,92 of 192,2 of 16,0 of 1,12%,0%,0,0
Caio Borralho,Armen Petrosyan,Caio Borralho,UFC Fight Night: Dos Anjos vs. Fiziev,Mike Beltran,Decision - Unanimous,0,0,12 of 25,31 of 61,48%,50%,49 of 83,72 of 132,4 of 5,0 of 0,80%,---,0,0
Douglas Silva de Andrade,Said Nurmagomedov,Said Nurmagomedov,UFC Fight Night: Dos Anjos vs. Fiziev,Herb Dean,Decision - Unanimous,0,0,28 of 74,42 of 97,37%,43%,44 of 95,77 of 150,1 of 1,1 of 5,100%,20%,0,0
Jared Vanderaa,Chase Sherman,Chase Sherman,UFC Fight Night: Dos Anjos vs. Fiziev,Mark Smith,KO/TKO,0,1,109 of 266,137 of 235,40%,58%,109 of 267,137 of 235,0 of 0,0 of 0,---,---,0,0
Aiemann Zahabi,Ricky Turcios,Aiemann Zahabi,UFC Fight Night: Dos Anjos vs. Fiziev,Mike Beltran,Decision - Unanimous,0,0,54 of 105,27 of 235,51%,11%,54 of 105,27 of 235,0 of 0,0 of 2,---,0%,0,0
Michael Johnson,Jamie Mullarkey,Jamie Mullarkey,UFC Fight Night: Dos Anjos vs. Fiziev,Herb Dean,Decision - Split,1,0,66 of 190,96 of 217,34%,44%,68 of 194,96 of 218,0 of 2,0 of 2,0%,0%,0,0
Cody Brundage,Tresean Gore,Cody Brundage,UFC Fight Night: Dos Anjos vs. Fiziev,Herb Dean,KO/TKO,1,0,15 of 39,8 of 25,38%,32%,23 of 49,8 of 27,1 of 2,0 of 0,50%,---,0,0
Antonina Shevchenko,Cortney Casey,Antonina Shevchenko,UFC Fight Night: Dos Anjos vs. Fiziev,Chris Tognoni,Decision - Split,0,0,55 of 117,33 of 86,47%,38%,81 of 158,80 of 146,0 of 1,2 of 5,0%,40%,0,0
David Onama,Garrett Armfield,David Onama,UFC Fight Night: Dos Anjos vs. Fiziev,Mike Beltran,Submission,0,0,29 of 72,21 of 72,40%,29%,46 of 95,29 of 83,2 of 6,0 of 2,33%,0%,1,0
Kennedy Nzechukwu,Karl Roberson,Kennedy Nzechukwu,UFC Fight Night: Dos Anjos vs. Fiziev,Mark Smith,KO/TKO,0,0,20 of 43,9 of 19,46%,47%,64 of 114,16 of 26,5 of 7,0 of 3,71%,0%,1,0
Ronnie Lawrence,Saidyokub Kakhramonov,Saidyokub Kakhramonov,UFC Fight Night: Dos Anjos vs. Fiziev,Chris Tognoni,Decision - Unanimous,0,0,15 of 33,32 of 59,45%,54%,16 of 34,105 of 156,1 of 2,10 of 16,50%,62%,0,0
Israel Adesanya,Jared Cannonier,Israel Adesanya,UFC 276: Adesanya vs. Cannonier,Herb Dean,Decision - Unanimous,0,0,116 of 230,90 of 157,50%,57%,163 of 277,141 of 217,0 of 0,0 of 4,---,0%,0,0
Alexander Volkanovski,Max Holloway,Alexander Volkanovski,UFC 276: Adesanya vs. Cannonier,Marc Goddard,Decision - Unanimous,0,0,199 of 372,127 of 301,53%,42%,204 of 377,161 of 335,0 of 0,0 of 3,---,0%,0,0
Sean Strickland,Alex Pereira,Alex Pereira,UFC 276: Adesanya vs. Cannonier,Jason Herzog,KO/TKO,0,1,15 of 29,25 of 40,51%,62%,15 of 29,25 of 40,0 of 0,0 of 0,---,---,0,0
Robbie Lawler,Bryan Barberena,Bryan Barberena,UFC 276: Adesanya vs. Cannonier,Mark Smith,KO/TKO,0,0,81 of 141,147 of 316,57%,46%,81 of 141,148 of 317,0 of 0,0 of 0,---,---,0,0
Pedro Munhoz,Sean O'Malley,,UFC 276: Adesanya vs. Cannonier,Jason Herzog,Could Not Continue,0,0,26 of 41,25 of 47,63%,53%,26 of 41,25 of 47,0 of 0,0 of 0,---,---,0,0
Brad Riddell,Jalin Turner,Jalin Turner,UFC 276: Adesanya vs. Cannonier,Marc Goddard,Submission,0,0,2 of 3,3 of 5,66%,60%,2 of 3,3 of 5,0 of 1,0 of 0,0%,---,0,1
Jim Miller,Donald Cerrone,Jim Miller,UFC 276: Adesanya vs. Cannonier,Mark Smith,Submission,0,0,24 of 36,21 of 33,66%,63%,35 of 48,24 of 36,1 of 1,0 of 0,100%,---,1,0
Ian Garry,Gabe Green,Ian Garry,UFC 276: Adesanya vs. Cannonier,Chris Tognoni,Decision - Unanimous,1,0,116 of 193,90 of 195,60%,46%,129 of 206,102 of 208,1 of 2,1 of 4,50%,25%,0,0
Brad Tavares,Dricus Du Plessis,Dricus Du Plessis,UFC 276: Adesanya vs. Cannonier,Mark Smith,Decision - Unanimous,0,0,82 of 150,113 of 212,54%,53%,98 of 167,123 of 222,0 of 1,0 of 7,0%,0%,0,0
Uriah Hall,Andre Muniz,Andre Muniz,UFC 276: Adesanya vs. Cannonier,Herb Dean,Decision - Unanimous,0,0,6 of 26,17 of 39,23%,43%,24 of 49,99 of 185,0 of 0,4 of 10,---,40%,0,0
Jessica Eye,Maycee Barber,Maycee Barber,UFC 276: Adesanya vs. Cannonier,Jason Herzog,Decision - Unanimous,0,0,35 of 62,63 of 97,56%,64%,76 of 106,83 of 117,1 of 4,0 of 0,25%,---,0,0
Jessica-Rose Clark,Julija Stoliarenko,Julija Stoliarenko,UFC 276: Adesanya vs. Cannonier,Chris Tognoni,Submission,0,0,9 of 16,6 of 9,56%,66%,9 of 16,6 of 9,0 of 0,1 of 1,---,100%,0,1
Arman Tsarukyan,Mateusz Gamrot,Mateusz Gamrot,UFC Fight Night: Tsarukyan vs. Gamrot,Jason Herzog,Decision - Unanimous,1,0,95 of 247,81 of 138,38%,58%,110 of 264,108 of 166,1 of 8,6 of 21,12%,28%,0,0
Neil Magny,Shavkat Rakhmonov,Shavkat Rakhmonov,UFC Fight Night: Tsarukyan vs. Gamrot,Chris Tognoni,Submission,0,0,11 of 22,19 of 36,50%,52%,21 of 35,56 of 79,0 of 0,2 of 2,---,100%,0,1
Josh Parisian,Alan Baudot,Josh Parisian,UFC Fight Night: Tsarukyan vs. Gamrot,Mark Smith,KO/TKO,0,1,42 of 68,49 of 75,61%,65%,102 of 156,56 of 82,3 of 4,0 of 0,75%,---,0,0
Thiago Moises,Christos Giagos,Thiago Moises,UFC Fight Night: Tsarukyan vs. Gamrot,Herb Dean,Submission,0,0,3 of 4,2 of 5,75%,40%,7 of 9,13 of 16,1 of 2,0 of 0,50%,---,1,0
Nate Maness,Umar Nurmagomedov,Umar Nurmagomedov,UFC Fight Night: Tsarukyan vs. Gamrot,Jason Herzog,Decision - Unanimous,0,0,2 of 20,74 of 100,10%,74%,46 of 68,128 of 161,0 of 0,3 of 4,---,75%,0,0
Chris Curtis,Rodolfo Vieira,Chris Curtis,UFC Fight Night: Tsarukyan vs. Gamrot,Mark Smith,Decision - Unanimous,0,0,109 of 174,86 of 145,62%,59%,128 of 193,90 of 149,0 of 0,0 of 20,---,0%,0,0
Carlos Ulberg,Tafon Nchukwi,Carlos Ulberg,UFC Fight Night: Tsarukyan vs. Gamrot,Herb Dean,KO/TKO,1,0,15 of 19,3 of 4,78%,75%,15 of 19,3 of 4,0 of 0,0 of 0,---,---,0,0
Shayilan Nuerdanbieke,TJ Brown,Shayilan Nuerdanbieke,UFC Fight Night: Tsarukyan vs. Gamrot,Chris Tognoni,Decision - Unanimous,1,0,47 of 79,42 of 99,59%,42%,86 of 121,58 of 125,3 of 6,1 of 2,50%,50%,0,4
Raulian Paiva,Sergey Morozov,Sergey Morozov,UFC Fight Night: Tsarukyan vs. Gamrot,Jason Herzog,Decision - Unanimous,0,0,63 of 142,68 of 127,44%,53%,63 of 142,82 of 143,1 of 4,2 of 13,25%,15%,0,0
JP Buys,Cody Durden,Cody Durden,UFC Fight Night: Tsarukyan vs. Gamrot,Mark Smith,KO/TKO,0,1,7 of 11,23 of 30,63%,76%,7 of 11,34 of 41,0 of 2,0 of 0,0%,---,0,0
Brian Kelleher,Mario Bautista,Mario Bautista,UFC Fight Night: Tsarukyan vs. Gamrot,Herb Dean,Submission,0,0,2 of 3,6 of 17,66%,35%,2 of 3,6 of 17,0 of 0,2 of 2,---,100%,0,1
Vanessa Demopoulos,Jinh Yu Frey,Vanessa Demopoulos,UFC Fight Night: Tsarukyan vs. Gamrot,Chris Tognoni,Decision - Split,0,0,66 of 139,62 of 133,47%,46%,71 of 144,81 of 153,1 of 7,0 of 1,14%,0%,0,0
Calvin Kattar,Josh Emmett,Josh Emmett,UFC Fight Night: Kattar vs. Emmett,Herb Dean,Decision - Split,0,0,130 of 375,107 of 332,34%,32%,131 of 376,107 of 332,0 of 0,0 of 4,---,0%,0,0
Tim Means,Kevin Holland,Kevin Holland,UFC Fight Night: Kattar vs. Emmett,Kerry Hatley,Submission,0,0,21 of 46,36 of 90,45%,40%,25 of 52,53 of 109,2 of 5,0 of 1,40%,0%,0,1
Joaquin Buckley,Albert Duraev,Joaquin Buckley,UFC Fight Night: Kattar vs. Emmett,Jacob Montalvo,TKO - Doctor's Stoppage,2,0,27 of 105,10 of 50,25%,20%,30 of 108,17 of 60,0 of 0,2 of 9,---,22%,0,0
Damir Ismagulov,Guram Kutateladze,Damir Ismagulov,UFC Fight Night: Kattar vs. Emmett,Herb Dean,Decision - Split,0,0,79 of 192,78 of 187,41%,41%,83 of 197,80 of 190,0 of 6,1 of 7,0%,14%,0,0
Julian Marquez,Gregory Rodrigues,Gregory Rodrigues,UFC Fight Night: Kattar vs. Emmett,Mike Beltran,KO/TKO,0,3,13 of 42,49 of 72,30%,68%,13 of 42,50 of 74,0 of 0,0 of 0,---,---,0,0
Adrian Yanez,Tony Kelley,Adrian Yanez,UFC Fight Night: Kattar vs. Emmett,Kerry Hatley,KO/TKO,1,0,35 of 67,20 of 49,52%,40%,36 of 68,21 of 50,0 of 0,0 of 0,---,---,0,0
Jasmine Jasudavicius,Natalia Silva,Natalia Silva,UFC Fight Night: Kattar vs. Emmett,Jacob Montalvo,Decision - Unanimous,0,0,31 of 101,96 of 185,30%,51%,40 of 116,120 of 213,0 of 6,2 of 3,0%,66%,0,0
Court McGee,Jeremiah Wells,Jeremiah Wells,UFC Fight Night: Kattar vs. Emmett,Herb Dean,KO/TKO,0,1,3 of 8,7 of 16,37%,43%,3 of 8,7 of 16,0 of 0,0 of 0,---,---,0,0
Ricardo Ramos,Danny Chavez,Ricardo Ramos,UFC Fight Night: Kattar vs. Emmett,Mike Beltran,KO/TKO,1,0,4 of 14,3 of 9,28%,33%,4 of 14,3 of 9,0 of 0,0 of 0,---,---,0,0
Maria Oliveira,Gloria de Paula,Maria Oliveira,UFC Fight Night: Kattar vs. Emmett,Kerry Hatley,Decision - Split,0,0,96 of 297,105 of 190,32%,55%,99 of 303,116 of 205,2 of 4,2 of 3,50%,66%,0,0
Eddie Wineland,Cody Stamann,Cody Stamann,UFC Fight Night: Kattar vs. Emmett,Jacob Montalvo,KO/TKO,0,1,3 of 7,27 of 38,42%,71%,3 of 7,32 of 43,0 of 0,0 of 0,---,---,0,0
Phil Hawes,Deron Winn,Phil Hawes,UFC Fight Night: Kattar vs. Emmett,Herb Dean,KO/TKO,1,0,118 of 175,32 of 111,67%,28%,126 of 191,34 of 114,1 of 3,0 of 0,33%,---,0,0
